категория,название,ссылка,калории,белки,жиры,углеводы
Готовая еда,39.Бутерброд с ветчиной 80г,https://magnit.ru/product/1000452376-buterbrod_s_vetchinoy_kulinariya,286.0,19.4,17.6,12.5
Готовая еда,239.Суп Томатный с зеленью 1л4.7· 3 отзыва,https://magnit.ru/product/1000454688-tomatnyy_sup_s_zelenyu_1l,,,,
Готовая еда,119.Салат со стручковой фасолью по-корейски 250г4.6· 4 отзыва,https://magnit.ru/product/1000419583-fasol_struchkovaya_po_koreyski_250g_pl_ban,,,,
Готовая еда,149.Пирожное Трюфельное Главторт 300г,https://magnit.ru/product/1000447768-glavtort_pirozhnoe_tryufelnoe_0_3kg_kor,284.0,5.8,13.0,34.8
Готовая еда,59.Сочник с творожной начинкой Аютинский хлеб 90г,https://magnit.ru/product/1000445462-sochnik_s_tvorozhnoy_nachinkoy_0_09_kg_p_up_gukovskaya,334.0,9.5,14.0,42.0
Готовая еда,69.79.Чикенбургер 140г,https://magnit.ru/product/1000459433-chikenburger_korr_kulinariya,312.0,10.6,12.5,39.1
Готовая еда,89.164.Салат Цезарь 150г,https://magnit.ru/product/1000478916-salat_tsezar_150_g_pl_kon_torosyan,203.0,8.2,16.0,6.0
Готовая еда,199.Салат Морковь по-корейски 700г4.8· 44 отзыва,https://magnit.ru/product/1000417430-morkov_po_koreyski_700_g_pl_ban,,,,
Готовая еда,149.Сэндвич с курицей 180г4· 11 отзывов,https://magnit.ru/product/1000478907-sendvich_s_kuritsey_180g_pl_kom_torosyan,303.0,13.7,16.2,30.2
Готовая еда,39.59.Дениш с сосиской и кетчупом XXL 100г,https://magnit.ru/product/1000482388-denish_s_sosiskoy_i_ketchupom_xxl_0_1kg_kulinariya,280.0,5.0,15.0,31.0
Готовая еда,19.Булочка с отрубями 94г,https://magnit.ru/product/1000486561-bulochka_s_otrubyami_0_094_kg_kulinariya,250.0,8.1,2.8,48.2
Готовая еда,104.КимЧи 200г,https://magnit.ru/product/1000486065-kimchi_200g_pl_ban,,,,
Готовая еда,359.Эклеры со сгущенкой Авангард вкуса 500г,https://magnit.ru/product/1000568616-avangard_vkusa_eklery_so_sgushchenkoy_500g,435.0,6.6,19.6,68.0
Готовая еда,179.Пирожное Фламбе лимонное Золотой колос 170г4.8· 41 отзыв,https://magnit.ru/product/1000566472-zolotoy_kolos_pirozhnoe_flambe_limonnoe_170g_korreks,360.0,4.0,14.0,54.0
Готовая еда,149.Плов с курицей300г499. · 1кг,https://magnit.ru/product/1000550604-plov_s_kuritsey_ms_kulinariya,183.0,7.0,10.7,14.5
Готовая еда,21.Сдоба Забава 100г,https://magnit.ru/product/1000567949-sdoba_zabava_0_1kg_kulinariya,358.0,8.7,8.9,60.8
Готовая еда,245.399.Трубочка слойка со сгущёнкой Авангард вкуса 700г,https://magnit.ru/product/1000568618-avangard_vkusa_trubochka_sloyka_sgushchyenka_700g,420.0,6.0,9.0,45.0
Готовая еда,209.Набор пирожных Ассорти Золотой колос 155г,https://magnit.ru/product/1000558400-zolotoy_kolos_nabor_pirozhnykh_assorti_155g_korr,350.0,6.0,15.0,48.0
Готовая еда,285.Трубочка слойка со сливочным кремом Авангард вкуса 600г,https://magnit.ru/product/1000568615-avangard_vkusa_trubochka_sloyka_slivochnyy_krem_600g,320.0,5.5,15.0,35.0
Готовая еда,249.Напиток фруктовый чай со вкусом лимон-лайм 400мл4.4· 22 отзыва,https://magnit.ru/product/1000579168-meco_napitok_frukt_chay_so_vkusom_limon_laym_0_4l,39.0,,,9.5
Готовая еда,27.Булочка Венская Золотой колос 75г,https://magnit.ru/product/3422145101-bulochka_venskaya_0_075kg_fl_p_abacharaev_a_s_50,370.0,6.5,14.0,55.0
Готовая еда,369.Пирожное Наполеон Авангард вкуса 500г,https://magnit.ru/product/1000568619-avangard_vkusa_pirozhnoe_napoleon_500g,500.0,5.0,30.0,35.0
Готовая еда,79.Крем-суп тыквенный 200мл,https://magnit.ru/product/1000540034-krem_sup_tykvennyy_0_2l,,,,
Готовая еда,64.109.Пампушки с чесноком 300г,https://magnit.ru/product/1399900090-pampushki_s_chesnokom_0_3kg_sp_gm,55.0,8.0,9.5,
Готовая еда,19.Булочка Городская классическая 100г,https://magnit.ru/product/1399900072-bulochka_gorodskaya_klassicheskaya_0_1kg_kulinariya,260.0,8.0,1.0,54.0
Готовая еда,159.Пирожное Безетта с черной смородиной Золотой колос 120г4.9· 31 отзыв,https://magnit.ru/product/1000524940-zolotoy_kolos_pirozhnoe_bezetta_s_chernoy_smorodinoy_120g,380.0,3.0,9.5,71.0
Готовая еда,25.Булочка с маком Аютинский хлеб 90г5· 82 отзыва,https://magnit.ru/product/1391400207-bulochka_s_makom_0_09kg_p_up_ayutinskiy_khleb,335.0,7.7,10.9,51.7
Готовая еда,19.Пирожок печеный Шанежка наливная 70г,https://magnit.ru/product/1000528278-pirozhok_pechenyy_shanezhka_nalivnaya_70g_kulinariya,274.0,5.6,14.1,31.5
Готовая еда,135.Пирожное Пончо Метрополис 150г4.7· 34 отзыва,https://magnit.ru/product/1620360033-pirozhnoe_poncho_0_15kg_pl_st_ooometropolis,270.0,3.0,17.0,27.0
Готовая еда,209.Курица с лапшой 300г,https://magnit.ru/product/1000573618-vkusnye_traditsii_kuritsa_s_lapshoy_0_3kg_pl_kon_safonov,277.0,18.0,7.8,2.5
Готовая еда,124.Морковь по-корейски250г499. · 1кг4.6· 62 отзыва,https://magnit.ru/product/1499900376-morkov_po_koreyski_sp_gm,116.0,1.0,8.7,8.4
Готовая еда,92.Десерт фруктовый ананас А.Ростагрокомплекс 150г,https://magnit.ru/product/1000581133-rostagroeksport_desert_fruktovyy_ananas_150g_pl_st,140.0,,,35.0
Готовая еда,79.Суп томатный с зеленью 200мл,https://magnit.ru/product/1000540035-sup_tomatnyy_s_zelenyu_0_2l,,,,
Готовая еда,79.Сдоба Ромашка ХК Лавина 300г,https://magnit.ru/product/2119639953-sdoba_romashka_0_3kg_p_up_lavina,300.0,8.0,8.0,50.0
Готовая еда,179.Пирожное Наполеон Фарше 150г,https://magnit.ru/product/8000017321-pirozhnoe_napoleon_150g_korr_farshe,319.0,4.4,17.1,39.6
Готовая еда,189.Пирожное Сникерс Фарше 160г4.8· 4 отзыва,https://magnit.ru/product/8000017313-pirozhnoe_snikers_160g_korr_farshe,360.0,4.2,12.2,58.4
Готовая еда,59.Сырные шарики 100г,https://magnit.ru/product/8000011687-izdeliya_bulochnye_syrnye_shariki_0_1kg_kulinariya,360.0,8.5,16.3,44.8
Готовая еда,279.Окорочка гриль400г699. · 1кг,https://magnit.ru/product/1999900090-okorochka_gril_sp_gm,181.0,19.5,10.4,1.0
Готовая еда,27.Плюшка с маком 100г,https://magnit.ru/product/1000545921-plyushka_s_makom_100_g_kulinariya,400.0,8.8,10.8,67.1
Готовая еда,16.Пампушки с чесноком 80г,https://magnit.ru/product/8000010078-pampushki_s_chesnokom_80g_ne_upak_kulinariya,299.0,7.7,6.6,52.3
Готовая еда,49.Пирожок печеный Шаньга с мясом 100г,https://magnit.ru/product/8000022415-pirozhok_pechyenyy_shanga_s_myasom_100g_kulinariya,329.0,12.0,18.1,29.6
Готовая еда,129.Шницель куриный в яйце с макарон Cook Chart 200г4.7· 4 отзыва,https://magnit.ru/product/8000085023-cook_chart_shnitsel_kur_v_yaytse_s_makaron_200g_lotok,158.0,9.2,2.3,25.1
Готовая еда,199.Салат Цезарь с курицей М Кухня 200г,https://magnit.ru/product/8000073076-m_kukhnya_salat_tsezar_s_kuritsey_200g_yunion_fud_yug,216.0,6.7,17.5,7.9
Готовая еда,79.109.Булочка со вкусом банана Lejinji 65г4.5· 4 отзыва,https://magnit.ru/product/8000075749-lejinji_bulochka_so_vkusom_banana_72g,354.0,7.7,14.3,48.5
Готовая еда,32.Слойка с вишневой начинкой 60г,https://magnit.ru/product/1699919112-sloyka_s_vishnevoy_nachinkoy_0_06kg_sp_gm,410.0,6.0,471.0,53.0
Готовая еда,189.Напиток сокосодержащий Яблоко Любимый 1.93л,https://magnit.ru/product/1000453190-lyubimyy_napitok_yabloko_1_93l_t_pak,40.0,0.0,0.0,10.0
Готовая еда,239.Салат Баварский300г799. · 1кг,https://magnit.ru/product/1000310544-salat_salat_bavarskiy_ms_1kg_v_ne_upakovan_sp_gm,5.0,9.5,17.0,
Готовая еда,79.Крем-суп овощной с шампиньонами и сливками 200мл4· 8 отзывов,https://magnit.ru/product/8000104024-krem_sup_ovoshchnoy_s_shampinonami_i_slivkami_0_2l,,,,
Готовая еда,30.Булочка Венская с шоколадной начинкой Золотой колос 75г5· 23 отзыва,https://magnit.ru/product/1000460263-zolotoy_kolos_bulochka_venskaya_s_shokoladnoy_nachinkoy_75g_fl_p_abacharaeva,370.0,6.5,14.1,55.0
Готовая еда,259.Пирожные эклеры с крем-брюле Mirel 160г,https://magnit.ru/product/8000032774-mirel_pirozhnye_eklery_s_krem_bryule_160g_korreks,340.0,5.0,20.0,34.0
Готовая еда,49.59.Косичка греческая с начинкой из мяса кур и овощей 130г4.9· 24 отзыва,https://magnit.ru/product/8000034799-kosichka_grecheskaya_s_nachin_iz_myas_kur_i_ovoshch130g_kulinariya,960.0,8.0,6.5,35.0
Готовая еда,208.Салат Оливье300г · 1кг4.7· 33 отзыва,https://magnit.ru/product/1000310706-salat_salat_olive_ms_1kg_v_ne_upakovan_sp_gm,187.0,4.3,15.8,6.9
Готовая еда,219.Сок J7 апельсиновый с мякотью 970мл4.9· 302 отзыва,https://magnit.ru/product/9812460036-sok_j7_apelsinovyy_970ml,35.0,0.7,,9.0
Готовая еда,139.Чай зеленый холодный Lipton 1л,https://magnit.ru/product/1000165868-kholodnyy_chay_lipton_zelenyy_1l,19.0,0.0,0.0,4.6
Готовая еда,119.Бутерброд с ветчиной 180г,https://magnit.ru/product/1000352940-buterbrod_s_vetchinoy_180g_plastikovyy_konteyner_ip_torosyan_mger_razmikovich,299.0,9.1,10.2,38.9
Готовая еда,244.Минтай жареный тушка350г699. · 1кг4.4· 21 отзыв,https://magnit.ru/product/1000310677-mintay_mintay_zharenyy_tushka_ms_1kg_v_ne_upakovan_sp_gm,152.0,18.4,7.3,3.1
Готовая еда,82.Чай зеленый холодный Lipton 500мл5· 190 отзывов,https://magnit.ru/product/1000165866-kholodnyy_chay_lipton_zelenyy_500ml,19.0,0.0,0.0,4.6
Готовая еда,119.Салат из свеклы с черносливом300г399. · 1кг,https://magnit.ru/product/1000310555-salat_salat_iz_svekly_s_chernoslivom_ms_1kg_v_ne_upakovan_sp_gm,167.0,5.1,13.2,7.1
Готовая еда,32.Слойка с ветчиной и сыром 60г4.6· 102 отзыва,https://magnit.ru/product/1000094482-sloyka_s_vetchinoy_i_syrom_0_06kg_polietilenovyy_paket_sp_gm,41.0,9.0,471.0,
Готовая еда,169.Ролл пшеничный Цезарь 180г,https://magnit.ru/product/1000417308-roll_pshenichnyy_tsezar_korr_kulinariya,291.0,11.7,17.7,21.1
Готовая еда,24.Булка Французская 80г4.8· 43 отзыва,https://magnit.ru/product/8000015599-bulka_frantsuzskaya_80g_kulinariya,177.0,6.2,1.5,35.0
Готовая еда,199.Кекс Творожный десерт400г499. · 1кг4.8· 21 отзыв,https://magnit.ru/product/1699900172-keks_tvorozhnyy_desert_v_sp_gm,320.0,6.5,12.0,46.0
Готовая еда,169.Кекс Русский бисквит Венский с изюмом 350г4.7· 92 отзыва,https://magnit.ru/product/1000161259-keks_russkiy_biskvit_venskiy_s_izyumom_350g,370.0,6.0,16.0,52.0
Готовая еда,149.169.Мини-маффины Русский бисквит с начинкой вареная сгущенка 465г,https://magnit.ru/product/1000225533-mini_maffiny_ekonom_nachinka_varenaya_sgushchenka_465g_blisternaya_upakovka_russkiy_biskvit_ao_8,380.0,4.5,19.0,50.0
Готовая еда,33.Круассан с карамельной начинкой Аютинский хлеб 75г,https://magnit.ru/product/1000392550-ayutinskiy_khleb_kruassan_s_karam_nach_75g_fl_p_gukovskaya_m_yu_,396.0,5.2,17.1,53.9
Готовая еда,379.449.Торт Фарше Тирамису заливной 410г,https://magnit.ru/product/8000017312-tort_tiramisu_zalivnoy_410g_korr_farshe,287.0,7.3,11.7,38.2
Готовая еда,45.Круассан с малиной Каравай Кубани 75г,https://magnit.ru/product/1000553237-kruassan_s_malinoy_75g_krasnodarskiy_khz_6,380.0,5.5,19.0,46.0
Готовая еда,45.Круассан с шоколадной начинкой Краснодарский хлебозавод №6 75г4.9· 32 отзыва,https://magnit.ru/product/1000408109-kruassan_s_shokol_nachin_0_075kg_p_up_krasnodarskiy_khz_6,470.0,8.5,26.0,52.0
Готовая еда,33.Круассан с шоколадной начинкой 75г,https://magnit.ru/product/1391400210-kruassan_s_shokolad_nachinkoy_0_075kg_p_up_gukovskaya_m_yu,365.0,6.6,13.3,55.0
Готовая еда,33.Слойка с маком Золотой колос 75г4.7· 43 отзыва,https://magnit.ru/product/1000056195-sloyka_s_makom_0_075kg_p_up_abacharaev_a_s,410.0,6.0,17.0,57.0
Готовая еда,199.Кекс Шарлотка осенняя400г499. · 1кг,https://magnit.ru/product/1699900174-keks_sharlotka_osennyaya_v_sp_gm,300.0,5.0,11.0,46.0
Готовая еда,159.199.Мини-маффины с варёной сгущенкой Kovis 470г4.8· 41 отзыв,https://magnit.ru/product/1000197635-kovis_mini_maffiny_krem_var_sgushch_470g_fl_p_rameskiy_6,380.0,4.5,17.0,53.0
Готовая еда,239.Крем-суп Тыквенный 1л4· 7 отзывов,https://magnit.ru/product/1000454691-tykvennyy_krem_sup_1l,,,,
Готовая еда,224.Салат Нуар300г749. · 1кг4.7· 2 отзыва,https://magnit.ru/product/1000523472-salat_nuar_ms_kulinariya,278.0,7.5,25.3,5.0
Готовая еда,219.Напиток Любимый Апельсиновое манго 1.93л4.9· 332 отзыва,https://magnit.ru/product/1000187811-napitok_lyubimyy_apelsin_mango_i_mandarin_1_93l,50.0,0.2,,12.0
Готовая еда,129.Сэндвич с ветчиной 175г4.5· 1 отзыв,https://magnit.ru/product/1000417299-sendvich_s_vetchinoy_korr_kulinariya,229.0,10.4,11.0,22.0
Готовая еда,Газированный напиток Кола Evervess 1.5л4.9· 271 отзыв,https://magnit.ru/product/1000484118-evervess_napitok_kola_b_a_sil_gaz_1_5l_pl_but,18.0,0.0,0.0,4.5
Готовая еда,349.Кекс Изюминка500г699. · 1кг,https://magnit.ru/product/8000030514-keks_izyuminka_v_terteryan,357.0,6.0,0.7,81.0
Готовая еда,37.Сдоба Датская с маком Золотой колос 75г5· 21 отзыв,https://magnit.ru/product/1000550469-zolotoy_kolos_datskaya_sdoba_s_makom_75g_fl_p_abacharaeva,370.0,6.5,11.0,62.0
Готовая еда,36.Бурэкас с ветчиной и сыром 65г,https://magnit.ru/product/8000011427-burekas_s_vetchinoy_i_syrom_65g_kulinariya,340.0,6.0,22.0,29.0
Готовая еда,59.69.Пирожок с рисом и яйцом 100г4.3· 21 отзыв,https://magnit.ru/product/1000177732-pirozhok_s_risom_i_yaytsom_0_1_kg_sp_gm_0_1kg_lotok_sp_gm,242.0,8.5,8.9,32.0
Готовая еда,189.Пирожное Картошка оригинальная Фарше 300г,https://magnit.ru/product/1000493539-bonari_pirozhnoe_kartoshka_originalnaya_0_3_kg_korreks_farshe,420.0,5.5,20.0,53.0
Готовая еда,199.Ризотто с тунцом Магуро 230г,https://magnit.ru/product/8000108210-maguro_rizotto_s_tuntsom_230g,150.0,6.9,9.3,9.2
Готовая еда,69.Булочка с грушевой начинкой 100г4.5· 33 отзыва,https://magnit.ru/product/1000197745-bulochka_s_grushevoy_nachinkoy_0_1_kg_polietilenovyy_paket_sp_gm,286.0,4.8,8.2,48.1
Готовая еда,Только у нас129.Смузи груша-шпинат-мята М Кухня 300мл,https://magnit.ru/product/8000043552-m_kukhnya_smuzi_grusha_shpin_myata_0_3l_pl_but_konditer_servis,65.0,,,16.0
Готовая еда,184.Чай черный холодный Персик Lipton 1.5л4.9· 62 отзыва,https://magnit.ru/product/1000165858-lipton_kholodnyy_chay_persik_1_5l_pl_but_pepsiko_6,21.0,0.0,0.0,5.0
Готовая еда,129.149.Хумус с кедровым орехом 200г,https://magnit.ru/product/1000297928-poleznye_produkty_khumus_s_kedrovymi_oreshkami_200g_steklyannaya_banka_ooo_ameyzin_fud_12,134.0,2.8,10.4,7.0
Готовая еда,27.Круассан с шоколадной начинкой 85г4.8· 31 отзыв,https://magnit.ru/product/1000451029-kruassan_s_shokoladnoy_nachinkoy_85g_kulinariya,470.0,6.0,28.0,50.0
Готовая еда,119.Десерт с вишней Фабмай 120г,https://magnit.ru/product/8000125776-fabmay_desert_s_vishney_120g_pl_st,208.0,4.2,10.2,24.8
Готовая еда,339.Эклеры со сливочным кремом Авангард вкуса 450г,https://magnit.ru/product/1000568617-avangard_vkusa_eklery_slivochnyy_krem_450g,260.0,5.0,5.0,48.0
Готовая еда,Ломтик лосось специального посола200г · 1кг4.9· 64 отзыва,https://magnit.ru/product/1000130012-lomtik_losos_spets_posola_1_kg_v_neupakovan_sp_gm,202.0,22.5,12.5,
Готовая еда,21.Круассан Бутербродный Аютинский хлеб 50г,https://magnit.ru/product/1000387666-ayutinskiy_khleb_kruassan_buterbr_0_05kg_floupak_gukovskaya,432.0,6.2,22.3,51.6
Готовая еда,159.Черный чай холодный газированный манго-личи Lipton 1л,https://magnit.ru/product/8000120744-lipton_napitok_chay_chernyy_gaz_mango_lichi_1l_pl_but,19.0,0.0,0.0,4.6
Готовая еда,184.Чай зеленый холодный Lipton 1.5л5· 295 отзывов,https://magnit.ru/product/1000165867-kholodnyy_chay_lipton_zelenyy_1_5l,19.0,0.0,0.0,4.6
Готовая еда,169.Сок J7 яблочный 970мл5· 78 отзывов,https://magnit.ru/product/9812460037-sok_j7_yablochnyy_970ml,45.0,,,11.0
Готовая еда,109.Черный чай холодный газированный манго-личи Lipton 500мл,https://magnit.ru/product/8000120746-lipton_napitok_chay_chernyy_gaz_mango_lichi_0_5l_pl_but,19.0,0.0,0.0,4.6
Готовая еда,179.Напиток сокосодержащий Вишневая черешня Любимый 1.93л,https://magnit.ru/product/1000141775-nektar_lyubimyy_yabloko_vishnya_i_chereshnya_1_93l,40.0,,,10.0
Готовая еда,109.Черный чай холодный газированный лимон Lipton 500мл,https://magnit.ru/product/8000120745-lipton_napitok_chay_chernyy_gaz_limon_0_5l_pl_but,19.0,0.0,0.0,4.6
Готовая еда,179.Нектар Апельсин с мякотью Любимый 970мл,https://magnit.ru/product/1000448678-lyubimyy_nektar_apels_s_myakotyu_0_97l_t_pak_pepsiko,40.0,0.0,0.0,10.0
Готовая еда,69.79.Лепешка с сыром 1504.8· 71 отзыв,https://magnit.ru/product/1000545922-lepeshka_s_syrom_150_g_kulinariya,346.0,13.1,20.0,28.5
Готовая еда,99.Салат с копченым мясом в майонезе 150г4.5· 163 отзыва,https://magnit.ru/product/1000108176-salaty_s_kopchen_myasom_v_mayon_150g_pl_kon_sp_santa_bremor_6,191.0,2.8,16.4,8.0
Готовая еда,170.Салат Русская красавица300г569. · 1кг4.5· 23 отзыва,https://magnit.ru/product/1000310399-salat_salat_russkaya_krasavitsa_ms_1kg_v_ne_upakovan_sp_gm,219.0,5.4,18.7,7.3
Готовая еда,158.Рыба пангасиус жареная Батерфляй300г529. · 1кг,https://magnit.ru/product/1000310680-ryba_ryba_zharenaya_baterflyay_ms_1kg_v_ne_upakovan_sp_gm,224.0,17.6,13.8,7.3
Готовая еда,59.69.Конвертик с сырной начинкой ветчиной и зеленью 80г,https://magnit.ru/product/1000473489-konvertik_s_syrnoy_nach_vetchin_i_zelen_0_08kg_kulinariya,357.0,14.1,19.6,31.1
Готовая еда,116.Напиток Любимый Земляничное лето 950мл4.8· 251 отзыв,https://magnit.ru/product/1000011310-napitok_lyubimyy_zemlyanichnoe_leto_950ml,35.0,,,9.0
Готовая еда,99.249.Пирожок печеный с начинкой Чизбургер 200г,https://magnit.ru/product/1000352197-pirozhok_pechenyy_s_nachinkoy_chizburger_0_2_kg_0_2kg_ne_upakovan_sp_gm,293.0,10.7,13.2,32.7
Готовая еда,79.Салат Морковь по-корейски с грибами 150г,https://magnit.ru/product/1000297792-morkov_po_koreyski_s_gribami_150g_plastikovaya_banka_6,,,,
Готовая еда,129.Пирожное Трубочка слоеная Золотой колос 2шт 130г,https://magnit.ru/product/1621410011-pirozhnoe_trubochka_sloenaya_0_13kg_2sht_zolotoy_kolos,390.0,6.5,18.0,51.0
Готовая еда,199.Пирожное Буше Золотой колос 3шт 210г,https://magnit.ru/product/1621410018-pirozhnoe_bushe_0_21kg_3sht_zolotoy_kolos,360.0,6.0,11.0,60.0
Готовая еда,99.119.Чизбургер 210г,https://magnit.ru/product/1000459431-chizburger_korr_kulinariya,388.0,13.7,19.7,39.0
Готовая еда,55.69.Сдоба Лакомка 100г4.6· 22 отзыва,https://magnit.ru/product/1000352188-sdoba_lakomka_s_makom_0_1kg_0_1kg_ne_upakovan_sp_gm,58.0,7.4,19.3,
Готовая еда,252.Мини-маффины Kovis Клубника 470г,https://magnit.ru/product/1000197636-kovis_mini_maffiny_krem_klubnika_470g_fl_p_rameskiy_6,340.0,4.0,12.0,54.0
Готовая еда,239.Бедро цыплят гриль400г599. · 1кг,https://magnit.ru/product/1999900092-bedro_tsyplyat_gril_sp_gm,181.0,19.5,10.9,1.0
